# cldr	guj	http://cldr.unicode.org/	MIT-like
06978656-n	guj:lemma	અબખાજિયન
06973941-n	guj:lemma	અવેસ્તન
06952861-n	guj:lemma	આફ્રિકન્સ
06997486-n	guj:lemma	અકન
06987525-n	guj:lemma	અક્કાદીયાન
06918312-n	guj:lemma	અલેઉત
06906971-n	guj:lemma	એલ્ગોક્વિયન
06987812-n	guj:lemma	એમ્હારિક
06949591-n	guj:lemma	જુની
06919433-n	guj:lemma	અપાચે
06988057-n	guj:lemma	અરબી
06988307-n	guj:lemma	અર્માઇક
06908291-n	guj:lemma	અરાપાહો
06894544-n	guj:lemma	કૃત્રિમ
06917764-n	guj:lemma	અરાવક
06970784-n	guj:lemma	આસામી
06927007-n	guj:lemma	અઝરબૈજાની
06927007-n	guj:lemma	અઝેરી
06974687-n	guj:lemma	બલૂચી
06939656-n	guj:lemma	બાલિનીસ
06945679-n	guj:lemma	બાલ્ટિક
06944480-n	guj:lemma	બેલારુશિયન
06990544-n	guj:lemma	બર્બર
06945569-n	guj:lemma	બલ્ગેરિયન
06970510-n	guj:lemma	બિહારી
06970946-n	guj:lemma	બંગાળી
06991980-n	guj:lemma	બન્ટુ
06933931-n	guj:lemma	તિબેટી
06961771-n	guj:lemma	બ્રેટોન
06967529-n	guj:lemma	કતલાન
06915601-n	guj:lemma	કડ્ડો
06917926-n	guj:lemma	કરિબ
06978180-n	guj:lemma	કાકેશિયન
06978422-n	guj:lemma	ચેચન
06940109-n	guj:lemma	સિબુઆનો
06960298-n	guj:lemma	સેલ્ટિક
06928047-n	guj:lemma	છગાતાઇ
06957287-n	guj:lemma	મારી
06905828-n	guj:lemma	ચિનૂક
06912436-n	guj:lemma	ચોક્તૌ
06920010-n	guj:lemma	શિપેવ્યાન
06916117-n	guj:lemma	શેરોકી
06908700-n	guj:lemma	શેયેન્ન
06990371-n	guj:lemma	કોપ્ટિક
06909298-n	guj:lemma	ક્રી
06944911-n	guj:lemma	ચેક
06944156-n	guj:lemma	ચર્ચ
06927952-n	guj:lemma	ચૂવાશ
06961557-n	guj:lemma	વેલ્શ
06954048-n	guj:lemma	ડેનિશ
06909478-n	guj:lemma	દાકોતા
06950528-n	guj:lemma	જર્મન
06909571-n	guj:lemma	દેલેવેર
06998322-n	guj:lemma	દિન્કા
06979014-n	guj:lemma	દ્રવિડિઅન
06997587-n	guj:lemma	ઇવે
06976392-n	guj:lemma	ગ્રીક
06968454-n	guj:lemma	એલામાઇટ
06947032-n	guj:lemma	અંગ્રેજી
06948761-n	guj:lemma	મિડિલ
06895791-n	guj:lemma	એસ્પેરાન્ટો
06966825-n	guj:lemma	સ્પેનિશ
06957896-n	guj:lemma	એસ્ટોનિયન
06966695-n	guj:lemma	બાસ્ક
06974127-n	guj:lemma	પર્શિયન
06992929-n	guj:lemma	ફેંગ
06958255-n	guj:lemma	ફિનિશ
06939756-n	guj:lemma	ફિલિપિનો
06938623-n	guj:lemma	ફિજીયન
06955087-n	guj:lemma	ફોરિસ્ત
06964901-n	guj:lemma	ફ્રેન્ચ
06965961-n	guj:lemma	કેનેડિયન
06965580-n	guj:lemma	જૂની
06967935-n	guj:lemma	ફ્રિયુલિયાન
06960778-n	guj:lemma	આઇરિશ
06961122-n	guj:lemma	સ્કોટ્સ
06946497-n	guj:lemma	જર્મેનિક
06966454-n	guj:lemma	ગેલિશિયન
06950973-n	guj:lemma	મધ્ય
06917280-n	guj:lemma	ગુઆરાની
06950886-n	guj:lemma	જૂની
06980971-n	guj:lemma	ગોંડી
06955706-n	guj:lemma	ગોથિક
06977434-n	guj:lemma	પ્રાચીન
06971454-n	guj:lemma	ગુજરાતી
06961221-n	guj:lemma	માંક્સ
06982697-n	guj:lemma	હૌસા
06910238-n	guj:lemma	હૈડા
06938493-n	guj:lemma	હાવાઇયન
06987124-n	guj:lemma	હીબ્રુ
06970103-n	guj:lemma	હિન્દી
06975902-n	guj:lemma	હિટ્ટિતે
06937098-n	guj:lemma	મોંગ
06958836-n	guj:lemma	હંગેરિયન
06919818-n	guj:lemma	હૂપા
06942699-n	guj:lemma	આર્મેનિયન
06993225-n	guj:lemma	હેરેરો
06896304-n	guj:lemma	ઇંટરલિંગુઆ
06939198-n	guj:lemma	ઇન્ડોનેશિયન
06941644-n	guj:lemma	ઇંડો-યુરોપીયન
06896500-n	guj:lemma	ઇડૌ
06973610-n	guj:lemma	ઇરાની
06916803-n	guj:lemma	ઇરોક્વોઇયન
06954183-n	guj:lemma	આઇસલેન્ડિક
06964247-n	guj:lemma	ઇટાલિયન
06929279-n	guj:lemma	જાપાનીઝ
06939431-n	guj:lemma	જાવાનીસ
06978766-n	guj:lemma	જ્યોર્જિઅન
06933022-n	guj:lemma	કાચિન
06993348-n	guj:lemma	કમ્બા
06932130-n	guj:lemma	કારેન
06993719-n	guj:lemma	કોંગો
06941341-n	guj:lemma	ખોસિયન
06927128-n	guj:lemma	કઝાક
06937348-n	guj:lemma	ખ્મેર
06979957-n	guj:lemma	કન્નડા
06929171-n	guj:lemma	કોરિયન
06958063-n	guj:lemma	કરેલિયન
06972874-n	guj:lemma	કશ્મીરી
06974558-n	guj:lemma	કુર્દિશ
06957042-n	guj:lemma	કોમી
06961681-n	guj:lemma	કોર્નિશ
06927736-n	guj:lemma	કિરગીઝ
06962600-n	guj:lemma	લેટિન
06967282-n	guj:lemma	લાદીનો
06935594-n	guj:lemma	લાઓથિયન
06946199-n	guj:lemma	લિથુનિયન
06998392-n	guj:lemma	લ્યુઓ
06946355-n	guj:lemma	લાતવિયન
06937531-n	guj:lemma	ઓસ્ટ્રોનેશિયન
06998460-n	guj:lemma	મસાઇ
06961033-n	guj:lemma	મિડિલ
06938386-n	guj:lemma	માઓરી
06910868-n	guj:lemma	મિકમેક
06945473-n	guj:lemma	મેસેડોનિયન
06980175-n	guj:lemma	મલયાલમ
06928839-n	guj:lemma	મોંગોલિયન
06928744-n	guj:lemma	માન્ચુ
06916313-n	guj:lemma	મોહૌક
06971281-n	guj:lemma	મરાઠી
06939051-n	guj:lemma	મલય
06988913-n	guj:lemma	માલ્ટિઝ
06932435-n	guj:lemma	બર્મીઝ
06919215-n	guj:lemma	માયા
06918832-n	guj:lemma	નહઆત્લ
06952249-n	guj:lemma	લો
06972985-n	guj:lemma	નેપાળી
06934020-n	guj:lemma	નેવારી
06991277-n	guj:lemma	નાઇગર-કોર્ડોફેનિયન
06952572-n	guj:lemma	ડચ
06952705-n	guj:lemma	ફ્લેમિશ
06954303-n	guj:lemma	નૉર્વેજીયન
06953167-n	guj:lemma	જૂની
06919712-n	guj:lemma	નાવાજો
06994918-n	guj:lemma	ન્યામવેઝી
06966190-n	guj:lemma	ઑકીટન
06911366-n	guj:lemma	ઓઝિંબ્વા
06971123-n	guj:lemma	ઉડિયા
06911575-n	guj:lemma	ઓસેજ
06971605-n	guj:lemma	પંજાબી
06941115-n	guj:lemma	પાપુન
06974846-n	guj:lemma	પહલવી
06989473-n	guj:lemma	ફોનિશિયન
06973334-n	guj:lemma	પાલી
06944720-n	guj:lemma	પોલીશ
06975132-n	guj:lemma	પશ્તો
06975132-n	guj:lemma	પુશ્ટો
06966310-n	guj:lemma	પોર્ટુગીઝ
06917083-n	guj:lemma	ક્વેચુઆ
06968174-n	guj:lemma	રહેટો
06968343-n	guj:lemma	રોમાનિયન
06963951-n	guj:lemma	રોમાંસ
06969822-n	guj:lemma	રોમાની
06944348-n	guj:lemma	રશિયન
06993573-n	guj:lemma	કિન્યારવાન્ડા
06969129-n	guj:lemma	સંસ્કૃત
06964600-n	guj:lemma	સાર્દિનિયન
06950209-n	guj:lemma	સ્કોટ્સ
06969705-n	guj:lemma	સિંધી
06960180-n	guj:lemma	સેલ્કપ
06906028-n	guj:lemma	સાંગો
06960948-n	guj:lemma	જૂની
06945095-n	guj:lemma	સર્બો-ક્રોએશિયન
06935223-n	guj:lemma	શેન
06971741-n	guj:lemma	સિંહલી
06920129-n	guj:lemma	સિઉઆન
06930934-n	guj:lemma	ચીની-ટિબેટી
06944820-n	guj:lemma	સ્લોવૅક
06943771-n	guj:lemma	સ્લોવિક
06995135-n	guj:lemma	શોના
06991004-n	guj:lemma	સોમાલી
06998631-n	guj:lemma	સોન્ઘાઇ
06942252-n	guj:lemma	અલ્બેનિયન
06996755-n	guj:lemma	સેરેર
06997697-n	guj:lemma	નીલો-સહારન
06939542-n	guj:lemma	સંડેનીઝ
06954925-n	guj:lemma	સ્વીડિશ
06995792-n	guj:lemma	સ્વાહિલી
06980315-n	guj:lemma	તમિલ
06980721-n	guj:lemma	તેલુગુ
06974390-n	guj:lemma	તાજીક
06936149-n	guj:lemma	થાઈ
06926889-n	guj:lemma	તુર્કમેન
06940001-n	guj:lemma	ટાગાલોગ
06913025-n	guj:lemma	લિંગિત
06995664-n	guj:lemma	ત્સ્વાના
06938190-n	guj:lemma	ટોંગા
